Starting Pack Level,Final Pack Level,Cat Amount,Cat Type
Gold,Platinum,37,Baby
Gold,Platinum,35,Epic
Gold,Platinum,13,Superior
Gold,Celestial,68,Rickroll
Gold,Gold,16,Wild
Gold,Gold,41,Nice
Gold,Diamond,231,Fine
Gold,Gold,20,Rare
Gold,Gold,14,Baby
Gold,Gold,11,Epic
Gold,Platinum,32,Baby
Gold,Gold,26,Good
Gold,Gold,19,Rare
Gold,Platinum,3,8bit
Gold,Gold,3,Trash
Gold,Gold,10,Sus
Gold,Platinum,5,Legendary
Gold,Gold,11,Epic
Gold,Gold,5,Superior
Gold,Platinum,120,Nice
Gold,Diamond,116,Good
Gold,Platinum,3,8bit
Gold,Platinum,36,Wild
Gold,Gold,5,Superior
Gold,Diamond,28,Rickroll
Gold,Gold,21,Rare
Gold,Gold,11,Sus
Gold,Gold,11,Baby
Gold,Gold,7,Rickroll
Gold,Gold,20,Rare
Gold,Celestial,12,Mythic
Gold,Gold,3,Trash
Gold,Gold,7,Rickroll
Gold,Platinum,3,8bit
Gold,Platinum,18,Rickroll
Gold,Gold,11,Epic
Gold,Platinum,3,8bit
Gold,Gold,12,Epic
Gold,Gold,64,Fine
Gold,Gold,9,Sus
Gold,Gold,58,Fine
Gold,Gold,15,Wild
Gold,Diamond,8,Legendary
Gold,Platinum,6,Legendary
Gold,Gold,28,Good
Gold,Gold,14,Wild
Gold,Platinum,7,Trash
Gold,Platinum,15,Reverse
Gold,Gold,1,8bit
Gold,Gold,11,Baby
Gold,Gold,60,Fine
Gold,Platinum,12,Superior
Gold,Gold,8,Brave
Gold,Gold,11,Sus
Gold,Gold,3,Trash
Gold,Gold,14,Baby
Gold,Platinum,26,Brave
Gold,Gold,11,Epic
Gold,Platinum,26,Sus
Gold,Platinum,165,Fine
Gold,Gold,3,Trash
Gold,Gold,3,Trash
Gold,Platinum,105,Nice
Gold,Platinum,8,Trash
Gold,Gold,8,Brave
Gold,Platinum,22,Rickroll
Gold,Platinum,82,Good
Gold,Gold,17,Wild
Gold,Gold,21,Rare
Gold,Gold,41,Nice
Gold,Gold,7,Rickroll
Gold,Gold,29,Good
Gold,Platinum,2,Corrupt
Gold,Diamond,110,Good
Gold,Gold,11,Sus
Gold,Gold,1,8bit
Gold,Gold,2,Legendary
Gold,Gold,29,Good
Gold,Gold,9,Sus
Gold,Gold,2,Legendary
Gold,Gold,30,Good
Gold,Gold,41,Nice
Gold,Gold,14,Wild
Gold,Gold,31,Good
Gold,Platinum,20,Brave
Gold,Platinum,8,Trash
Gold,Gold,12,Epic
Gold,Gold,3,Trash
Gold,Gold,4,Superior
Gold,Gold,2,Legendary
Gold,Gold,41,Nice
Gold,Gold,1,8bit
Gold,Gold,5,Reverse
Gold,Gold,17,Rare
Gold,Platinum,6,Legendary
Gold,Gold,11,Baby
Gold,Gold,8,Rickroll
Gold,Gold,6,Reverse
